"date";"cycle_formation";"annee_volee";"phase";"participants";"journee";"nombre_participants";"niveau";"critere";"activite";"score"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"Formateurs";"Qualité perçue des méthodes pédagogiques";"Général";"76"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"Formateurs";"Perception de l'implication de l'équipe de formation";"Général";"87"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intérêt perçu pour les ressources";"Orchestration";"67"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intérêt perçu pour les ressources";"Scratch";"70"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intérêt perçu pour les ressources";"Usages, médias et société";"74"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Auto-efficacité vis-à-vis des ressources";"Orchestration";"64"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Auto-efficacité vis-à-vis des ressources";"Scratch";"55"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Auto-efficacité vis-à-vis des ressources";"Usages, médias et société";"72"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intention d’utiliser les ressources";"Orchestration";"58"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intention d’utiliser les ressources";"Scratch";"50"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"1";"Intention d’utiliser les ressources";"Usages, médias et société";"71"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"3";"Manque de ressources matérielles";"Général";"66"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"3";"Manque de ressources temporelles";"Général";"73"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"3";"Manque de soutien technique et/ou pédagogique";"Général";"70"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"3";"Trop de travail";"Encodage pixels";"10"
"11/10/2021";"Cycle 2";"Non concerné";"Pilote";"Enseignants";"2";"211";"3";"Trop de travail";"Algorithmes de tri de poids";"9"
